combination_id,mean_ari,std_ari,gamma,kappa,graph_corr,dropout,residual_weight,ari_151669,ari_151670,ari_151671,ari_151672,ari_151673,ari_151674,ari_151675,ari_151676,ari_151507,ari_151508,ari_151509,ari_151510
24,0.4689303542072059,0.08072647992867424,1.0,2.0,0.5,0.1,0.2,0.34952435365542595,0.3707764381812892,0.5749145556659222,0.5807667193346373,0.5605971261285294,0.4909054547120766,0.44738149186435927,0.3672907329895112,0.4737450125054323,0.5072654911507924,0.5184151351309808,0.38558173916751426
1,0.46728586129835836,0.13616064774708922,2.0,0.5,0.3,0.1,0.2,0.3393037384779755,0.1890391461544495,0.6019834423815302,0.7460176760954506,0.5379877650310079,0.38443511049123147,0.4618074680466363,0.4164909339748809,0.4977506431817704,0.5834317944048512,0.43692761410189507,0.41225500323862063
21,0.4660750679325822,0.09020664104234649,0.5,2.0,0.3,0.1,0.2,0.38730122126933525,0.21877918858098114,0.5667082992634438,0.5537229211861942,0.4617127776961883,0.4855469026918843,0.529084211135031,0.4809707998085642,0.41042755854837076,0.4748112227422893,0.5278989031161927,0.4959368091525105
31,0.4631511810632826,0.08994765663497646,2.0,2.0,0.4,0.3,0.2,0.22393395106953784,0.375859392725103,0.5822382015650193,0.5513122341673521,0.5008421318893642,0.4387719488844452,0.515712563731055,0.439971416971008,0.5017131061008232,0.5128301571482106,0.4791093876530419,0.43551968085443216
26,0.4630419921524991,0.11366660923241771,1.0,2.0,0.3,0.5,0.3,0.18843360547229837,0.3590333028773613,0.5875920368944727,0.5972179169071083,0.4948829895982574,0.488706938803946,0.5723382813657757,0.3578601356117709,0.49666955323393774,0.542121805568598,0.40624186406805346,0.4654054754284094
16,0.4607868076326372,0.11289854053329554,1.0,2.0,0.4,0.5,0.2,0.20089443970999396,0.3633120865780824,0.595699750611901,0.5613719579791733,0.6030805750785475,0.4443824352221987,0.5150882443277003,0.3773480398028916,0.518178483553481,0.5414916559783257,0.3822497690793926,0.42634425366995793
36,0.4584042590916622,0.12545402288441299,0.5,2.0,0.4,0.5,0.3,0.21669745590725253,0.21621254112338015,0.5871355432707729,0.573146175750199,0.5054401945881444,0.4651321107480325,0.5083237533495499,0.4167392338556605,0.5268266371351635,0.6022555670720159,0.3721376363252165,0.5108042599745583
12,0.45735017734763067,0.11868167136702525,2.0,2.0,0.5,0.3,0.3,0.22519783047398687,0.26513078321832734,0.6111624341087207,0.5805724366379245,0.6020767754693722,0.4579388926996374,0.5190340305350531,0.3886206676941763,0.52079340113015,0.4933774001873484,0.4272319169121856,0.39706555910468544
18,0.4556307044336747,0.14024406740545478,0.5,0.5,0.3,0.5,0.3,0.20176266768881426,0.2384213153602234,0.6043697999758049,0.7470663096997245,0.45668265317680085,0.3789479513122799,0.5277995022937569,0.42348320430038217,0.44922377806215547,0.47513557832687325,0.5233419433065374,0.4413337497007435
13,0.4554818747853518,0.12377474811432058,2.0,2.0,0.4,0.3,0.1,0.20789175113332092,0.2602285411335191,0.6017117797504221,0.5564155164971484,0.6108485371437363,0.4379791140677865,0.5822534277484184,0.41649097926941964,0.4850727214031682,0.4416032703861159,0.3666932419247957,0.49859361696637067
23,0.4550390308810835,0.1037334578459479,1.0,1.0,0.5,0.3,0.1,0.20284216740399585,0.3770670414817463,0.6119623809788187,0.5553537165627925,0.5044980602834773,0.46825983223524364,0.4998047607929963,0.35398802409867103,0.5170996104120363,0.44985839890519336,0.40511565059058313,0.5146187268274477
17,0.45349620559727866,0.10775298086415078,1.0,1.0,0.3,0.1,0.1,0.279467871328332,0.22348579372639163,0.5880699294754156,0.583250532488063,0.4685011980762898,0.38805370441030723,0.4934886934531225,0.3991345970460769,0.5311696530414994,0.4784598480491029,0.5163304828794625,0.4925421631932801
6,0.4534820195452609,0.10493934567405225,0.5,2.0,0.3,0.5,0.3,0.20521925324625864,0.3594664081595074,0.598010706664906,0.5730904078645036,0.4055742336628021,0.4871666439523682,0.5751229230096454,0.44067739729498046,0.4823375627804813,0.5009289230060281,0.3883666963084073,0.4258230785932428
2,0.45253733295777404,0.09644725353797698,0.5,1.0,0.3,0.1,0.2,0.41741703900899874,0.2244775051329649,0.594970358158187,0.5559018500271268,0.46064443577915426,0.3750131534168708,0.5733818049375601,0.3998640677573749,0.49460551205789555,0.4765600195099985,0.4443305888737427,0.41328166083341483
7,0.4518090751146069,0.12785429812910434,0.5,2.0,0.3,0.3,0.1,0.19770493925104862,0.21856363020885453,0.6022349269953489,0.5595022064612845,0.5017578017255406,0.4110564815148848,0.47025098266935383,0.6104420935904119,0.5170329521625795,0.4781690011407199,0.3676170019234663,0.48737688373179044
